exp1 | INFO flwr 2023-11-24 17:54:08,199 | app.py:151 | Starting Flower server, config: ServerConfig(num_rounds=20, round_timeout=None)
exp1 | INFO flwr 2023-11-24 17:54:09,566 | app.py:172 | Flower ECE: gRPC server running (20 rounds), SSL is disabled
exp1 | INFO flwr 2023-11-24 17:54:09,566 | server.py:86 | Initializing global parameters
exp1 | INFO flwr 2023-11-24 17:54:09,566 | server.py:269 | Using initial parameters provided by strategy
exp1 | INFO flwr 2023-11-24 17:54:09,566 | server.py:88 | Evaluating initial parameters
exp1 | INFO flwr 2023-11-24 18:05:53,216 | server.py:95 | initial parameters (loss, other metrics): 0.0, {'CBIS-DDSM': [{'Accuracy': 0.4772727272727273, 'Loss': tensor(0.6900, device='cuda:0'), 'Precision': 0.2903225806451613, 'Recall': 0.072, 'F1': 0.11538461538461536, 'AUC': 0.456863309352518, 'PRAUC': 0.4008582600195504}], 'CMMD': [{'Accuracy': 0.3865336658354115, 'Loss': tensor(0.6959, device='cuda:0'), 'Precision': 0.7989130434782609, 'Recall': 0.2441860465116279, 'F1': 0.3740458015267176, 'AUC': 0.5295930232558139, 'PRAUC': 0.8052153804064156}], 'VinDr': [{'Accuracy': 0.4805389221556886, 'Loss': tensor(0.6848, device='cuda:0'), 'Precision': 0.4235294117647059, 'Recall': 0.10778443113772455, 'F1': 0.1718377088305489, 'AUC': 0.4805389221556886, 'PRAUC': 0.48871081366678415}], 'RSNA': [{'Accuracy': 0.5382653061224489, 'Loss': tensor(0.6908, device='cuda:0'), 'Precision': 0.5396825396825397, 'Recall': 0.5204081632653061, 'F1': 0.5298701298701298, 'AUC': 0.5382653061224489, 'PRAUC': 0.6499433106575963}]}
exp1 | INFO flwr 2023-11-24 18:05:54,674 | server.py:101 | FL starting
exp1 | DEBUG flwr 2023-11-24 18:07:48,174 | server.py:223 | fit_round 1: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-24 18:26:12,100 | server.py:237 | fit_round 1 received 2 results and 0 failures
exp1 | WARNING flwr 2023-11-24 18:26:12,671 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
exp1 | INFO flwr 2023-11-24 18:28:54,586 | server.py:125 | fit progress: (1, 0.0, {'CBIS-DDSM': [{'Accuracy': 0.4734848484848485, 'Loss': tensor(0.7922, device='cuda:0'), 'Precision': 0.4734848484848485, 'Recall': 1.0, 'F1': 0.6426735218508998, 'AUC': 0.5, 'PRAUC': 0.7367424242424243}], 'CMMD': [{'Accuracy': 0.7506234413965087, 'Loss': tensor(0.4722, device='cuda:0'), 'Precision': 0.7506234413965087, 'Recall': 1.0, 'F1': 0.8575498575498576, 'AUC': 0.5, 'PRAUC': 0.8753117206982544}], 'VinDr': [{'Accuracy': 0.5, 'Loss': tensor(0.9603, device='cuda:0'), 'Precision': 0.5, 'Recall': 1.0, 'F1': 0.6666666666666666, 'AUC': 0.5, 'PRAUC': 0.75}], 'RSNA': [{'Accuracy': 0.5, 'Loss': tensor(0.4287, device='cuda:0'), 'Precision': 0.5, 'Recall': 1.0, 'F1': 0.6666666666666666, 'AUC': 0.5, 'PRAUC': 0.75}]}, 1379.912192625925)
exp1 | DEBUG flwr 2023-11-24 18:28:54,591 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 4)
exp1 | DEBUG flwr 2023-11-24 18:32:33,664 | server.py:187 | evaluate_round 1 received 0 results and 4 failures
