exp1 | INFO flwr 2023-11-21 13:51:54,208 | app.py:151 | Starting Flower server, config: ServerConfig(num_rounds=20, round_timeout=None)
exp1 | INFO flwr 2023-11-21 13:51:55,809 | app.py:172 | Flower ECE: gRPC server running (20 rounds), SSL is disabled
exp1 | INFO flwr 2023-11-21 13:51:55,810 | server.py:86 | Initializing global parameters
exp1 | INFO flwr 2023-11-21 13:51:55,810 | server.py:273 | Requesting initial parameters from one random client
exp1 | INFO flwr 2023-11-21 13:56:36,488 | server.py:277 | Received initial parameters from one random client
exp1 | INFO flwr 2023-11-21 13:56:36,489 | server.py:88 | Evaluating initial parameters
exp1 | INFO flwr 2023-11-21 13:56:36,489 | server.py:101 | FL starting
exp1 | DEBUG flwr 2023-11-21 14:00:23,172 | server.py:223 | fit_round 1: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 14:17:10,141 | server.py:237 | fit_round 1 received 2 results and 0 failures
exp1 | WARNING flwr 2023-11-21 14:17:10,593 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
exp1 | DEBUG flwr 2023-11-21 14:17:10,593 | server.py:173 | evaluate_round 1: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 14:20:02,879 | server.py:187 | evaluate_round 1 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 14:20:02,880 | server.py:223 | fit_round 2: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 14:36:42,315 | server.py:237 | fit_round 2 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 14:36:44,534 | server.py:173 | evaluate_round 2: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 14:38:28,627 | server.py:187 | evaluate_round 2 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 14:38:28,627 | server.py:223 | fit_round 3: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 14:54:42,864 | server.py:237 | fit_round 3 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 14:54:43,219 | server.py:173 | evaluate_round 3: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 14:56:41,255 | server.py:187 | evaluate_round 3 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 14:56:41,256 | server.py:223 | fit_round 4: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 15:14:21,099 | server.py:237 | fit_round 4 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 15:14:23,446 | server.py:173 | evaluate_round 4: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 15:16:00,281 | server.py:187 | evaluate_round 4 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 15:16:00,281 | server.py:223 | fit_round 5: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 15:32:48,494 | server.py:237 | fit_round 5 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 15:32:48,819 | server.py:173 | evaluate_round 5: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 15:34:18,726 | server.py:187 | evaluate_round 5 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 15:34:18,727 | server.py:223 | fit_round 6: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 15:50:23,908 | server.py:237 | fit_round 6 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 15:50:24,196 | server.py:173 | evaluate_round 6: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 15:52:09,646 | server.py:187 | evaluate_round 6 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 15:52:09,647 | server.py:223 | fit_round 7: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 16:10:15,631 | server.py:237 | fit_round 7 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 16:10:20,431 | server.py:173 | evaluate_round 7: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 16:12:10,444 | server.py:187 | evaluate_round 7 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 16:12:10,462 | server.py:223 | fit_round 8: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 16:28:55,409 | server.py:237 | fit_round 8 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 16:28:55,692 | server.py:173 | evaluate_round 8: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 16:30:41,185 | server.py:187 | evaluate_round 8 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 16:30:41,186 | server.py:223 | fit_round 9: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 16:46:29,063 | server.py:237 | fit_round 9 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 16:46:29,333 | server.py:173 | evaluate_round 9: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-21 16:48:12,320 | server.py:187 | evaluate_round 9 received 2 results and 0 failures
exp1 | DEBUG flwr 2023-11-21 16:48:12,323 | server.py:223 | fit_round 10: strategy sampled 2 clients (out of 2)
