exp1 | INFO flwr 2023-11-24 11:13:40,473 | app.py:151 | Starting Flower server, config: ServerConfig(num_rounds=20, round_timeout=None)
exp1 | INFO flwr 2023-11-24 11:13:41,752 | app.py:172 | Flower ECE: gRPC server running (20 rounds), SSL is disabled
exp1 | INFO flwr 2023-11-24 11:13:41,752 | server.py:86 | Initializing global parameters
exp1 | INFO flwr 2023-11-24 11:13:41,752 | server.py:273 | Requesting initial parameters from one random client
exp1 | INFO flwr 2023-11-24 11:18:16,368 | server.py:277 | Received initial parameters from one random client
exp1 | INFO flwr 2023-11-24 11:18:16,369 | server.py:88 | Evaluating initial parameters
exp1 | INFO flwr 2023-11-24 11:18:16,369 | server.py:101 | FL starting
exp1 | DEBUG flwr 2023-11-24 11:18:33,336 | server.py:223 | fit_round 1: strategy sampled 2 clients (out of 2)
exp1 | DEBUG flwr 2023-11-24 11:26:19,751 | server.py:237 | fit_round 1 received 2 results and 0 failures
exp1 | WARNING flwr 2023-11-24 11:26:20,218 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
exp1 | DEBUG flwr 2023-11-24 11:26:20,218 | server.py:173 | evaluate_round 1: strategy sampled 4 clients (out of 4)
exp1 | DEBUG flwr 2023-11-24 11:27:41,097 | server.py:187 | evaluate_round 1 received 4 results and 0 failures
exp1 | DEBUG flwr 2023-11-24 11:27:41,098 | server.py:223 | fit_round 2: strategy sampled 4 clients (out of 4)
exp1 | DEBUG flwr 2023-11-24 11:38:31,460 | server.py:237 | fit_round 2 received 4 results and 0 failures
exp1 | DEBUG flwr 2023-11-24 11:38:32,086 | server.py:173 | evaluate_round 2: strategy sampled 4 clients (out of 4)
exp1 | DEBUG flwr 2023-11-24 11:39:41,088 | server.py:187 | evaluate_round 2 received 4 results and 0 failures
exp1 | DEBUG flwr 2023-11-24 11:39:41,088 | server.py:223 | fit_round 3: strategy sampled 4 clients (out of 4)
