exp1 | INFO flwr 2023-11-24 14:26:24,794 | app.py:151 | Starting Flower server, config: ServerConfig(num_rounds=20, round_timeout=None)
exp1 | INFO flwr 2023-11-24 14:26:24,888 | app.py:172 | Flower ECE: gRPC server running (20 rounds), SSL is disabled
exp1 | INFO flwr 2023-11-24 14:26:24,888 | server.py:86 | Initializing global parameters
exp1 | INFO flwr 2023-11-24 14:26:24,888 | server.py:273 | Requesting initial parameters from one random client
exp1 | INFO flwr 2023-11-24 14:34:20,544 | server.py:277 | Received initial parameters from one random client
exp1 | INFO flwr 2023-11-24 14:34:20,545 | server.py:88 | Evaluating initial parameters
exp1 | INFO flwr 2023-11-24 14:38:46,449 | server.py:95 | initial parameters (loss, other metrics): 0.0, {'CBIS-DDSM': [(0.5303030303030303, tensor(0.6885, device='cuda:0'), 1.0, 0.008, 0.015873015873015872, 0.504, 0.7388484848484849)], 'CMMD': [(0.3690773067331671, tensor(0.6972, device='cuda:0'), 0.74, 0.24584717607973422, 0.3690773067331671, 0.49292358803986713, 0.7759659820548297)], 'VinDr': [(0.5074850299401198, tensor(0.6945, device='cuda:0'), 0.5067385444743935, 0.562874251497006, 0.5333333333333333, 0.5074850299401197, 0.6440878351114483)], 'RSNA': [(0.5178571428571429, tensor(0.6989, device='cuda:0'), 0.5360824742268041, 0.2653061224489796, 0.35494880546075086, 0.5178571428571429, 0.5843677677256469)]}
exp1 | INFO flwr 2023-11-24 14:38:49,154 | server.py:101 | FL starting
exp1 | DEBUG flwr 2023-11-24 14:38:49,155 | server.py:223 | fit_round 1: strategy sampled 4 clients (out of 4)
exp1 | DEBUG flwr 2023-11-24 15:02:00,738 | server.py:237 | fit_round 1 received 3 results and 1 failures
exp1 | WARNING flwr 2023-11-24 15:02:05,036 | fedavg.py:243 | No fit_metrics_aggregation_fn provided
